没有 to_not_have
问题 question
我们 we
现在 now
有钱 wealthy
工作 to_work
他们 they
爸爸 dad
爸妈 father_and_mother
妈妈 mum
北京 Beijing
房子 house
手机 hand_machine
你们 you
上海 Shanghai
朋友 friend
老师 teacher
电脑 electric_brain
这个 this
周末 weekend
有时 there_are_times_when
时间 time
不是 to_not_be
孩子 child
喝酒 to_drink_alcohol
今天 today
不想 to_not_think
喜欢 to_like
什么 what
咖啡 coffee
公司 company
不大 not_large
老板 shop_owner
高兴 glad
哥哥 elder_brother
但是 but
认识 to_know
明天 tomorrow
可以 can
冰水 icy_water
你妈 your_mom
美国 United_States
国人 compatriot
太太 An_honorific_for_adults
中国 China
国菜 national_dish
老公 husband
也是 to_also_be
学生 student
个儿 size
儿子 son
中文 Chinese
饺子 crescent
想来 to_guess
觉得 to_think
不好 bad
湖南 Hunan
好喝 tasty
地方 place
漂亮 pretty
昨天 yesterday
他生 next_life
生气 to_be_angry
麻烦 involving_a_hassle
餐厅 cafeteria
爷爷 paternal_grandfather
奶奶 paternal_grandmother
德语 German_language
法语 French_language
天和 heavenly_hand
还是 still
英国 United_Kingdom
喝茶 to_drink_tea
今年 this_year
个人 personal
苹果 apple
星期 week
老婆 wife
男人 man
老外 foreigner
有个 some
包子 Chinese_steamed_stuffed_bun
1月 Janurary
8月 August
7月 July
新年 New_Year
2月 Feburary
平安 safe_and_sound
月出 moonrise
出生 to_be_born
生日 birthday
4月 April
9月 September
结婚 to_get_married
九点 nine_o'clock
上午 morning
七点 seven_o'clock
下午 afternoon
四点 four_o'clock
中午 noon
十二 twelve
二点 two_o'clock
晚上 evening
天下 the_world
学校 school
有名 famous
女儿 daughter
会说 to_be_able_to_speak
英语 English_language
东西 east_and_west
空气 air
天气 weather
快点 Hurry_up
喝水 to_drink_water
水吧 counter_or_section_at_a_restaurant_or_cafeteria_where_drinks_and_beverages_are_prepared
香港 Hong_Kong
六点 six_o'clock
休息 to_rest
一下 one_time
便宜 cheap
一点 a_little
在外 to_be_away_from_home
外面 outside
不在 to_be_not_at
在学 to_be_at_school
在在 everywhere
在家 to_be_at_home
办公 to_handle_official_business
楼上 upstairs
酒吧 bar
很多 many
小狗 puppy
帅哥 handsome_man
日本 Japan
美女 beautiful_woman
牛奶 cow
这里 here
房间 room
有人 to_have_someone_there
杯子 drinkware
号码 number
一百 one_hundred
那个 that
外滩 the_Bund
我去 vulgar
洗手 to_wash_one's_hand
超市 supermarket
公园 park
上课 to_attend_class
旅行 to_go_on_a_trip
吃饭 to_eat_cooked_rice
你老 you
你好 hello
四十 forty
小时 hour
机能 function
上网 to_go_online
宝宝 baby
说话 to_speak
开车 to_drive
到家 to_go_home
早点 earlier
小声 low_voice
告诉 to_tell
一千 one_thousand
汉字 Chinese_character
会做 to_be_able_to_do_something
做饭 to_cook
唱歌 to_sing
不会 be_unlikely
英文 English_language
游泳 to_swim
会用 to_be_able_to_do_something
出去 to_go_out
晚饭 dinner
妈打 mother
电话 telephone
下班 to_finish_work
以后 afterwards
回家 to_return_home
进来 to_come_in
二十 twenty
十一 eleven
停车 to_park_a_vehicle
不可 cannot
进去 to_go_in
抽烟 to_smoke
脏话 profanity
睡觉 to_sleep
早饭 breakfast
怎么 how
上班 to_be_on_duty
坐地 to_stay_at_a_fixed_place
地铁 subway
知道 to_know
不知 to_not_know
女孩 girl
芒果 mango
语法 grammar
啤酒 beer
看到 to_catch_sight_of
不要 to_not_want
多肉 succulent
时候 period_of_time
那是 of_course
米饭 cooked_rice
师太 elderly_Buddhist_nun
厕所 toilet
弟弟 younger_brother
不来 to_not_come
要不 otherwise
好不 very
好吃 delicious
好玩 fun
飞机 flying_machine
大学 university
不对 wrong
点开 to_click_to_open
开会 to_hold
电影 film
这样 this_way
妹妹 younger_sister
巧克 chalk
早上 early_morning
天上 in_the_sky
十点 ten_o'clock
五点 five_o'clock
两点 two_o'clock
饿死 to_starve_to_death
死了 extremely
累死 Used_other_than_figuratively_or_idiomatically
几天 several_days
衣服 clothing
几个 a_few
不多 not_many
意思 meaning
想法 idea
门口 doorway
开始 to_start
以前 earlier_times
上学 to_go_to_school
多年 many_years
年轻 young
大城 Phra_Nakhon_Si_Ayutthaya
城市 city
看书 to_read_books
里面 inside
洗澡 to_take_a_shower_or_bath
阿姨 maternal_aunt
正在 in_the_process_of
